,commands
1269,"No one ever comes to see me. I don't blame them, I never did anything important. Just The Declaration of Independence, the Louisiana Purchase, the dumbwaiter..."
1270,"Uh, maybe I should be going. I caught you at a bad time."
1271,Wait! Please don't go. I get so lonely.
1272,The truth must be told.
1273,"Rudy my man, you're a miracle worker."
1274,"Your laundry, sir."
1275,There you go... buy yourself something nice.
1276,Thank you!
1277,are you ready to go to... I'll room service you...
1278,"Before you kill me, remember, this trip is ""All Expenses Paid."""
1279,"THE DEFICIT RAG / OH, YEAH, THE DEFICIT RAG / THOSE BUDGET GAPS CAN BE A TWELVE-DIGIT DRAG / I'M TELLIN' YA THAT'S THE DEFICIT / THEY REALLY MADE A MESS OF IT / THAT'S THE DEFICIT RA-A-G! Thank you!"
1280,"Oh, this guy is awful."
1281,"I know, honey, but just sit still."
1282,"Welcome, everyone to the awards luncheon. I'd like to introduce our distinguished judges who will select our scholarship winner."
1283,"Former Redskins great, Alonzo Flowers... perennial third-party candidate, Wilson DeFarge...Senate page, Brad Fletcher... skin-care consultant, Rowena... and wealthy gadabout, Chilton Gaines."
1284,Our first essayist will be Lisa Simpson. ...Lisa?... Lisa?
1285,"Oh, there she is. Lisa Simpson will now read her essay..."
1286,"I would like to read a different essay, if I may."
1287,"""The city of Washington was built on a stagnant swamp some 200 years ago, and very little has changed. It stank then, and it stinks now. Only today, it is the fetid stench of corruption that hangs in the air."""
1288,Cool! A ruckus!
1289,"""And who did I see taking a bribe, but the ""Honorable"" Bob Arnold. But don't worry, Congressman, I'm sure you can buy all the votes you need with your dirty money. And this will be one nation, under the dollar, with liberty and justice for none."""
1290,"Senator, there's a problem at the essay contest."
1291,"Please son, I'm very busy."
1292,A little girl is losing faith in democracy.
1293,Good lord!
1294,"Congressman, we want to drill for oil in Teddy Roosevelt's head."
1295,Well... Teddy who?
1296,"Congressman, you're under arrest."
1297,You work fast.
1298,I work for Uncle Sam!
1299,"We will now vote on the House Bill 1022, the expulsion of Bob Arnold."
1300,"Mr. Speaker, I'm all for the bill, but shouldn't we tack on a pay raise for ourselves?"
1301,"Okay, this should make my bosses very happy."
1302,Your bosses?
1303,Yep! All 250 million of them.
1304,"""When my family arrived in this country four months ago, we spoke no English and had no money in our pockets. Today, we own a nationwide chain of wheel balancing centers. Where else but in America, or possibly Canada, could our family find such opportunity? That's why, whenever I see the stars and stripes, I'll always be reminded of that wonderful word -- flag."""
1305,There will be a brief recess while the judges tabulate their votes.
1306,what's gotten into you?
1307,"Yeah, your other speech was a little more crowd pleasin'."
1308,"I'm sorry, Dad. I couldn't think of a nice way to say America stinks."
1309,Extra! Extra! Feds nab rotten Rep!
1310,Gimme one of those!
1311,Imprisoned Congressman becomes born-again Christian.
1312,I can't believe it! The system works.
1313,THE TRADING GAP SHUFFLE / WE'RE IN A HEAP-A TROUBLE / A-DOIN' THE TRADING GAP SHUFFLE! YES SIR!
1314,He already sang this song!
1315,"No, that was about the budget gap. This is the trading gap."
1316,"And now, the moment of truth: Will the winning essay be... ""Bubble On, O Melting Pot""... ""Lift High Your Lamp, Green Lady""... ""USA: A-O.K.""... or ""Cesspool On The Potomac""?"
1317,Cesspool cesspool cesspool cesspool cesspool...
1318,"And now the winner is, ""USA: A-O.K."" by Truong Van Dinh."
1319,"Miss Crowley, thank you for this over-sized novelty check. I would like to share this honor with all of my fellow essayists. Particularly the courageous Lisa  whose inflammatory rhetoric reminded us that the price of freedom is eternal vigilance."
1320,Give her the check!
1321,I was serious.
1322,"SAY, LET ME TELL YOU ABOUT LISA S. / SHE'S THE LITTLE EIGHT-YEAR-OLD MUCKRAKER-ESS / SHE CAUGHT A CROOK AND REALLY MADE HIM PAY / SHE DID IT ALL IN JUST ONE DAY / THAT'S WHAT I WOULD CALL / BEING ON THE BALL!"
1323,"Lis, you taught me to stand up for what I believe in."
1324,Why  you silly goose! The weed whacker's just for the edges! You're gonna be out here all day!
1325,I'm almost done.
1326,"You are a picture and a half! Well -- hee hee! -- if you're finished by tomorrow, come on over and strap on the feed bag. We're gonna fire up old Propane Elaine and put the heat to the meat! Nummy nummy num!"
1327,I'll be there. Not-y not-y not.
1328,The Flanders are having a beef-a-thon! Incredible Ned-ibles! Maude-acious vittles!.
1329,I think it means he's having a barbecue.
1330,"Well, why doesn't he just say so?"
1331,"He's trying to be friendly. You know, if you gave Ned Flanders a chance --"
1332,"Oh, here we go again. Look, I don't care if Ned Flanders is the nicest guy in the world, he's a jerk. End of story."
1333,"We can't hold it against him, just because he has things a little better than we do --"
1334,"Excuse me? Better? Thanks a lot,  you really put me in my place."
1335,"Don't get me wrong, it's worth feeling three inches tall to find out what kind of a person you really are. Marge Simpson... President of the International We Love Flanders Fan Club..."
1336,Fee fi fo fum! I smell the potatoes au gratin of Marge Simp-son! Mmmm- mmm!
1337,"Hi, Ned. Homer sends his apologies, but uh... there was some important work at the plant that only he could take care of."
1338,We now return you to the exciting fifteenth round action at the Canadian Football League draft.
1339,"And so the Saskatchewan Rough Riders, who scored only four rouges all last season, Jack, get the kicker they so sorely need..."
1340,"Stupid Flanders... always showing off. Go ahead,  have a ball... What if they game back and I was dead from not eating? They'd cry their eyes out. We should have never gone to the Flanders'. Oh, why did we go to the Flanders' house and leave Homer all alone with no food. And I'd be laughing. Laughing from my grave."
1341,"What is it, boy? What? Mmmmmmmm... bar-b-que."
1342,"Hey, everyone, I'm back! Great to see ya! Nice seein' ya!"
1343,"Heya, Homer!"
1344,"Okay, thanks for comin'!"
1345,"You're ""it""!"
1346,No electricity. Electricity only in freeze tag.
1347,"Okay... Now you're ""it""!"
1348,"Hey, no tagbacks."
1349,"Yeah, you cheater!"
1350,You lie like a fly with a booger in its eye.
1351,The fly was funny and a booger was the icing on the cake...
1352,"Friends, we love you all, but I also have a ""sinister"" motive for asking you all here -- ""sinister"" being Latin for ""left-handed."" But enough joking."
1353,That was a joke?
1354,"As of Friday, I'm saying toodle-oo to the pharmaceutical game."
1355,"No, I kid you not. Here's the noose I had to wear for ten years."
1356,"What are you going to do, Ned?"
1357,"Well sir, like one out of every nine Americans, I'm left-handed. And let me tell you, it ain't all peaches and cream. Your writing gets smeared. Lord help you if you want to drive a standard transmission."
1358,"Well sir, I'm opening a one-stop store for Southpaws. Everything from left-handed apple peelers to left-handed zithers. I'm gonna call it the Leftorium."
1359,So  I'm dyin' to know. What do you think of the Leftorium?
1360,Uh... Sounds like a pretty dumb idea to me.
1361,"Well, I know it's a little risky and it's gonna be a lot of hard work, but gosh darn it, it's gonna be a lot of fun, too."
1362,"Fun? Where is this store, Flanders? The merry old land of Oz?"
1363,"Oh, no. The Springfield Mall."
1364,"Oh, here, you two. Make a wish."
1365,It's fun.
1366,"No, it isn't."
1367,"You must have something you want to wish for, Homer."
1368,"Hmm, let's see."
1369,"Come on, Homer! I got an ambition to do some wishin'!"
1370,"Keep your pants on, Flanders! I'm wishing as fast as I can!"
1371,Mmmm -- too far.
1372,Okay. Ready.
1373,Yesssss! Oh yessss! Read it and weep. In your face. I've got more chicken bone!
1374,"What'd you wish for, Homer?"
1375,"No, no, no, don't say. Otherwise it won't come true."
1376,Oooh. That would be a shame.
1377,"Wouldn't it, Flanders?"
1378,how many hours a day do you watch TV?
1379,Six. Seven if there's something good on.
1380,Don't you think you should get a little fresh air and maybe some exercise?
1381,"Yeah, but what are ya gonna do?"
1382,TV gives so much and asks so little. It's a boy's best friend.
1383,"That's the problem. Even as we speak, millions of children are staring at the TV instead of getting some much-needed exercise. Those children's parents should be ashamed of themselves."
1384,"Hello, I am Akira. HA!"
1385,That didn't hurt very much because I know the ancient art of karate.
1386,Karate focuses the mind and gives one self-confidence.
1387,People from all walks of life... doctors...
1388,... homemakers...
1389,... landscape architects...
1390,... choreographers...
1391,"High karate at low, low prices."
1392,"I cannot tell a lie, this is a great deal."
1393,"Hey Mom, how 'bout if I learn karate? Will that we make you happy?"
1394,"That sounds fine, Bart."
1395,"See, Marge? You knock TV and then it helps you out. I think you owe somebody a little apology."
1396,"Well, if it isn't the Leftorium."
1397,Ow. Ow. Ow. Ow.
1398,"Hey Flanders, how's business?"
1399,"Oh, a little pokey, but things are gonna pick up."
1400,I am so sorry. How much do I owe you?
1401,"Now, you put that money away. That was an accident."
1402,"Really? Well, thanks. Could you validate my parking?"
1403,Absotively posilutely.
1404,"So, Flanders, have you sold anything?"
1405,N-Not yet. But one of the mall security guards took a good long look at a left-handed ice cream scoop.
1406,"Greetings. I am Akira, your guide on the path to true karate. And this is our map, the Art of War by Sun Tzu. It will teach us our most important lesson: we learn karate so that we need never use it."
1407,"Um, excuse me, sir. I already know how not to hit a guy. Can we break out the nunchucks?"
1408,"Ah, yes, the impetuousness of youth! For now, let us read."
1409,"Akira, my good man. When do we break blocks of ice with our heads?"
1410,First you must fill your head with wisdom. Then you can hit ice with it.
1411,"Yo, sensei, can I go to the bathroom?"
1412,"You can, if you believe you can."
1413,Paying money to read books... the hell with this.
1414,"Come on, Touch of death. Touch of death. Touch of death."
1415,Touch of death!
1416,"I'm telling you, Flanders' store was dee-serted. So what do you think of your bestest buddy now, Marge?"
1417,"Dad, do you know what Schadenfreude is?"
1418,"No, I do not know what Schadenfreude is. Please tell me, because I'm dying to know."
1419,"It's the German term for ""shameful joy"" -- taking pleasure in the suffering of others."
1420,"Oh, come on, Lisa. I'm just glad to see him fall flat on his butt. He's usually all happy and comfortable and surrounded by loved ones, and it makes me feel... What's the opposite of that shameful joy thing of yours?"
1421,Sour grapes.
1422,"Boy, those Germans have a word for everything."
1423,So  what did you learn in karate school today?
1424,"Yeah, come on boy, this better be worth my ten bucks."
1425,"Uh, I learned the touch of death."
1426,"Ooh, the touch of death."
1427,Permit me to demonstrate.  shut your eyes. Soon you will be at peace.
1428,"Hey, quit it, Bart. Quit it! Hey, quit it, quit it, quit it! M-o-o-o-m!"
1429,don't use the touch of death on your sister.
1430,Uh-oh. Gotta get back to karate class.
1431,You missed a spot.
1432,"All right. Comin' through. Outta my way. Move it along. Step aside, lady."
1433,"Hey, boy. How was class?"
1434,Today we learned how to rip a man's heart out and show it to him before he dies.
1435,"Oh, that'll learn 'im."
1436,What'd ya swipe?
1437,"An ""I Love Lefties"" shot glass."
1438,Left-handed pinking shears.
1439,Pinking shears? Let's go to the Food Court and steal some baked potatoes.
1440,"Hey Flanders, when are your busy hours?"
1441,"Oh, oh, oh, I expect things to start picking up soon. I think word of mouth is startin' to spread."
1442,"Hey, I hear you validate parking tickets without purchase."
1443,"Oh, right as rain. Or, as we say around here, left as rain."
